Unnamed: 0,FIPS Code,State,Area name,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2013-17"
1,1000,AL,Alabama,399228.0,549608.0,803578.0
69,2000,AK,Alaska,74497.0,93807.0,137821.0
106,4000,AZ,Arizona,466873.0,766212.0,1284657.0
122,5000,AR,Arkansas,199304.0,288428.0,437428.0
198,6000,CA,California,4366674.0,5669966.0,8453731.0
257,8000,CO,Colorado,568256.0,907755.0,1446473.0
322,9000,CT,Connecticut,597693.0,720994.0,953199.0
331,10000,DE,Delaware,91722.0,128917.0,201769.0
337,12000,FL,Florida,1624405.0,2462328.0,4095858.0
405,13000,GA,Georgia,777158.0,1260178.0,2003531.0
565,15000,HI,Hawaii,162424.0,210041.0,315350.0
571,16000,ID,Idaho,106135.0,170615.0,285141.0
616,17000,IL,Illinois,1534996.0,2078049.0,2898584.0
719,18000,IN,Indiana,542941.0,755613.0,1106308.0
812,19000,IA,Iowa,299392.0,402090.0,572425.0
912,20000,KS,Kansas,330377.0,438978.0,610346.0
1018,21000,KY,Kentucky,318127.0,453469.0,692568.0
1139,22000,LA,Lousiana,409123.0,519778.0,723452.0
1204,23000,ME,Maine,149352.0,198960.0,291027.0
1221,24000,MD,Maryland,826164.0,1099360.0,1596997.0
1246,25000,MA,Massachusetts,1078999.0,1418295.0,1980861.0
3180,56000,WY,Wyoming,52195.0,69162.0,103954.0
1261,26000,MI,Michigan,1014047.0,1396259.0,1887041.0
1345,27000,MN,Minnesota,604584.0,868082.0,1285750.0
1433,28000,MS,Mississippi,226947.0,297091.0,417318.0
1516,29000,MO,Missouri,585761.0,784476.0,1155709.0
1632,30000,MT,Montana,100521.0,142961.0,216308.0
1690,31000,NE,Nebraska,188662.0,258140.0,377452.0
1784,32000,NV,Nevada,120640.0,237875.0,466121.0
1802,33000,NH,New Hampshire,173941.0,236104.0,338558.0
1813,34000,NJ,New Jersey,1284017.0,1684861.0,2347836.0
1835,35000,NM,New Mexico,188336.0,266149.0,371294.0
1869,36000,NY,New York,2733829.0,3433212.0,4820813.0
1932,37000,NC,North Carolina,739049.0,1186713.0,2025716.0
2033,38000,ND,North Dakota,71639.0,89843.0,140270.0
2087,39000,OH,Ohio,1175336.0,1563532.0,2148627.0
2176,40000,OK,Oklahoma,354969.0,446771.0,634364.0
2254,41000,OR,Oregon,382171.0,564566.0,902927.0
2291,42000,PA,Pennsylvania,1412746.0,1847631.0,2673219.0
2359,44000,RI,Rhode Island,140160.0,177817.0,240396.0
2365,45000,SC,South Carolina,360833.0,530055.0,898081.0
2412,46000,SD,South Dakota,73891.0,102012.0,156114.0
2479,47000,TN,Tennessee,500991.0,732688.0,1166773.0
2575,48000,TX,Texas,2094905.0,2972293.0,5010395.0
2830,49000,UT,Utah,199753.0,312963.0,567151.0
2860,50000,VT,Vermont,86854.0,119025.0,161142.0
2875,51000,VA,Virginia,972894.0,1374988.0,2133497.0
3011,53000,WA,Washington,716969.0,1061425.0,1687348.0
3051,54000,WV,West Virginia,144518.0,182960.0,257421.0
3107,55000,WI,Wisconsin,548970.0,779273.0,1134481.0
